,ambiguity_type,distance_bert,distance_elmo,overlap,pos,same,source,string,version,word
141,Polysemy,0.25242263078689575,0.09296464920043945,moderate overlap,N,False,Klepousniotou et al (2008),atmosphere,M1_b_M2_a,atmosphere
142,Polysemy,0.12693637609481812,0.05234229564666748,moderate overlap,N,False,Klepousniotou et al (2008),atmosphere,M1_b_M2_b,atmosphere
143,Polysemy,0.1995883584022522,0.037872314453125,moderate overlap,N,True,Klepousniotou et al (2008),atmosphere,M2_a_M2_b,atmosphere
144,Polysemy,0.11560302972793579,0.06382298469543457,moderate overlap,N,True,Klepousniotou et al (2008),barrier,M1_a_M1_b,barrier
145,Polysemy,0.2700822949409485,0.09208691120147705,moderate overlap,N,False,Klepousniotou et al (2008),barrier,M1_a_M2_a,barrier
146,Polysemy,0.22422701120376587,0.07631421089172363,moderate overlap,N,False,Klepousniotou et al (2008),barrier,M1_a_M2_b,barrier
147,Polysemy,0.2471557855606079,0.07921624183654785,moderate overlap,N,False,Klepousniotou et al (2008),barrier,M1_b_M2_a,barrier
148,Polysemy,0.1974220871925354,0.06051051616668701,moderate overlap,N,False,Klepousniotou et al (2008),barrier,M1_b_M2_b,barrier
149,Polysemy,0.13604551553726196,0.05608576536178589,moderate overlap,N,True,Klepousniotou et al (2008),barrier,M2_a_M2_b,barrier
150,Polysemy,0.14106673002243042,0.06306028366088867,moderate overlap,N,True,Klepousniotou et al (2008),beam,M1_a_M1_b,beam
151,Polysemy,0.31272000074386597,0.05115288496017456,moderate overlap,N,False,Klepousniotou et al (2008),beam,M1_a_M2_a,beam
152,Polysemy,0.3348153233528137,0.10286164283752441,moderate overlap,N,False,Klepousniotou et al (2008),beam,M1_a_M2_b,beam
153,Polysemy,0.2374032735824585,0.07360851764678955,moderate overlap,N,False,Klepousniotou et al (2008),beam,M1_b_M2_a,beam
154,Polysemy,0.32318687438964844,0.1264515519142151,moderate overlap,N,False,Klepousniotou et al (2008),beam,M1_b_M2_b,beam
155,Polysemy,0.25965267419815063,0.09441715478897095,moderate overlap,N,True,Klepousniotou et al (2008),beam,M2_a_M2_b,beam
156,Polysemy,0.2382832169532776,0.11597460508346558,moderate overlap,N,True,Klepousniotou et al (2008),blood,M1_a_M1_b,blood
157,Polysemy,0.3125620484352112,0.10631555318832397,moderate overlap,N,False,Klepousniotou et al (2008),blood,M1_a_M2_a,blood
158,Polysemy,0.4070981740951538,0.14889276027679443,moderate overlap,N,False,Klepousniotou et al (2008),blood,M1_a_M2_b,blood
159,Polysemy,0.20770341157913208,0.059400200843811035,moderate overlap,N,False,Klepousniotou et al (2008),blood,M1_b_M2_a,blood
160,Polysemy,0.343109667301178,0.08659732341766357,moderate overlap,N,False,Klepousniotou et al (2008),blood,M1_b_M2_b,blood
161,Polysemy,0.15645098686218262,0.09043115377426147,moderate overlap,N,True,Klepousniotou et al (2008),blood,M2_a_M2_b,blood
162,Polysemy,0.2099742293357849,0.08337271213531494,moderate overlap,N,True,Klepousniotou et al (2008),business,M1_a_M1_b,business
163,Polysemy,0.21683728694915771,0.08411455154418945,moderate overlap,N,False,Klepousniotou et al (2008),business,M1_a_M2_a,business
164,Polysemy,0.23414212465286255,0.10203444957733154,moderate overlap,N,False,Klepousniotou et al (2008),business,M1_a_M2_b,business
165,Polysemy,0.3450016379356384,0.09035205841064453,moderate overlap,N,False,Klepousniotou et al (2008),business,M1_b_M2_a,business
166,Polysemy,0.3671760559082031,0.13087546825408936,moderate overlap,N,False,Klepousniotou et al (2008),business,M1_b_M2_b,business
167,Polysemy,0.1499004364013672,0.06230008602142334,moderate overlap,N,True,Klepousniotou et al (2008),business,M2_a_M2_b,business
168,Homonymy,0.20921963453292847,0.05421328544616699,moderate overlap,N,True,Klepousniotou et al (2008),case,M1_a_M1_b,case
169,Homonymy,0.4572121500968933,0.06979382038116455,moderate overlap,N,False,Klepousniotou et al (2008),case,M1_a_M2_a,case
170,Homonymy,0.4697309136390686,0.09389001131057739,moderate overlap,N,False,Klepousniotou et al (2008),case,M1_a_M2_b,case
171,Homonymy,0.49239856004714966,0.09212857484817505,moderate overlap,N,False,Klepousniotou et al (2008),case,M1_b_M2_a,case
172,Homonymy,0.4713320732116699,0.0912676453590393,moderate overlap,N,False,Klepousniotou et al (2008),case,M1_b_M2_b,case
173,Homonymy,0.13857829570770264,0.06588923931121826,moderate overlap,N,True,Klepousniotou et al (2008),case,M2_a_M2_b,case
174,Polysemy,0.15566861629486084,0.08158236742019653,moderate overlap,N,True,Klepousniotou et al (2008),cause,M1_a_M1_b,cause
