"","word","version_with_order","ambiguity_type","dominance_right","sd_dominance"
"362","fan","M1_a_M2_b","Homonymy",-0.666666666666667,1
"363","fan","M1_b_M2_a","Homonymy",-1.22222222222222,1.30170827931778
"364","fan","M1_b_M2_b","Homonymy",0.272727272727273,1.4893561757289
"365","fan","M2_a_M1_a","Homonymy",0.555555555555556,1.50923085635624
"366","fan","M2_a_M1_b","Homonymy",0.428571428571429,1.71824938596845
"367","fan","M2_b_M1_a","Homonymy",0.777777777777778,1.092906420717
"368","fan","M2_b_M1_b","Homonymy",-0.25,1.34164078649987
"369","file","M1_a_M2_a","Homonymy",-0.363636363636364,1.56669890360128
"370","file","M1_a_M2_b","Homonymy",-1.33333333333333,0.5
"371","file","M1_b_M2_a","Homonymy",-2,0
"372","file","M1_b_M2_b","Homonymy",-0.666666666666667,1.3228756555323
"373","file","M2_a_M1_a","Homonymy",-0.0909090909090909,1.51357493732854
"374","file","M2_a_M1_b","Homonymy",0.833333333333333,1.47196014438797
"375","file","M2_b_M1_a","Homonymy",0.846153846153846,1.34450448407296
"376","file","M2_b_M1_b","Homonymy",1.53333333333333,0.516397779494322
"377","film","M1_a_M2_a","Polysemy",-1.14285714285714,0.377964473009227
"378","film","M1_a_M2_b","Polysemy",-1.1,1.19721899973786
"379","film","M1_b_M2_a","Polysemy",-1.38461538461538,0.869718492622904
"380","film","M1_b_M2_b","Polysemy",-0.8,1.09544511501033
"381","film","M2_a_M1_a","Polysemy",1.1,1.19721899973786
"382","film","M2_a_M1_b","Polysemy",0.8125,1.47054411698527
"383","film","M2_b_M1_a","Polysemy",1.33333333333333,1.63299316185545
